Time,Velocity,Distance
0.0, 0.0, 0.0
0.1, 0.02, 0.001
0.2, 0.04, 0.004
0.3, 0.06, 0.009
0.4, 0.08, 0.016
0.5, 0.1, 0.025
0.6, 0.12, 0.036
0.7, 0.14, 0.049
0.8, 0.16, 0.064
0.9, 0.18, 0.081
1.0, 0.2, 0.1
1.1, 0.22, 0.121
1.2, 0.24, 0.144
1.3, 0.26, 0.169
1.4, 0.28, 0.196
1.5, 0.3, 0.225
1.6, 0.32, 0.256
1.7, 0.34, 0.289
1.8, 0.36, 0.324
1.9, 0.38, 0.361
2.0, 0.4, 0.4
2.1, 0.42, 0.441
2.2, 0.44, 0.484
2.3, 0.46, 0.529
2.4, 0.48, 0.576
2.5, 0.5, 0.625
2.6, 0.52, 0.676
2.7, 0.54, 0.729
2.8, 0.56, 0.784
2.9, 0.58, 0.841
3.0, 0.6, 0.9
3.1, 0.62, 0.961
3.2, 0.64, 1.024
3.3, 0.66, 1.089
3.4, 0.68, 1.156
3.5, 0.7, 1.225
3.6, 0.72, 1.296
3.7, 0.74, 1.369
3.8, 0.76, 1.444
3.9, 0.78, 1.521
4.0, 0.8, 1.6
4.1, 0.82, 1.681
4.2, 0.84, 1.764
4.3, 0.86, 1.849
4.4, 0.88, 1.936
4.5, 0.9, 2.025
4.6, 0.92, 2.116
4.7, 0.94, 2.209
4.8, 0.96, 2.304
4.9, 0.98, 2.401
5.0, 1.0, 2.5
5.1, 1.02, 2.601
5.2, 1.04, 2.704
5.3, 1.06, 2.809
5.4, 1.08, 2.916
5.5, 1.1, 3.025
5.6, 1.12, 3.136
5.7, 1.14, 3.249
5.8, 1.16, 3.364
5.9, 1.18, 3.481
6.0, 1.2, 3.6
6.1, 1.22, 3.721
6.2, 1.24, 3.844
6.3, 1.26, 3.969
6.4, 1.28, 4.096
6.5, 1.3, 4.225
6.6, 1.32, 4.356
6.7, 1.34, 4.489
6.8, 1.36, 4.624
6.9, 1.38, 4.761
7.0, 1.4, 4.9
7.1, 1.42, 5.041
7.2, 1.44, 5.184
7.3, 1.46, 5.329
7.4, 1.48, 5.476
7.5, 1.5, 5.625
7.6, 1.52, 5.776
7.7, 1.54, 5.929
7.8, 1.56, 6.084
7.9, 1.58, 6.241
8.0, 1.6, 6.4
8.1, 1.62, 6.561
8.2, 1.64, 6.724
8.3, 1.66, 6.889
8.4, 1.68, 7.056
8.5, 1.7, 7.225
8.6, 1.72, 7.396
8.7, 1.74, 7.569
8.8, 1.76, 7.744
8.9, 1.78, 7.921
9.0, 1.8, 8.1
9.1, 1.82, 8.281
9.2, 1.84, 8.464
9.3, 1.86, 8.649
9.4, 1.88, 8.836
9.5, 1.9, 9.025
9.6, 1.92, 9.216
9.7, 1.94, 9.409
9.8, 1.96, 9.604
9.9, 1.98, 9.801
10.0, 2.0, 10.0
10.1, 2.02, 10.201
10.2, 2.04, 10.404
10.3, 2.06, 10.609
10.4, 2.08, 10.816
10.5, 2.1, 11.025
10.6, 2.12, 11.236
10.7, 2.14, 11.449
10.8, 2.16, 11.664
10.9, 2.18, 11.881
11.0, 2.2, 12.1
11.1, 2.22, 12.321
11.2, 2.24, 12.544
11.3, 2.26, 12.769
11.4, 2.28, 12.996
11.5, 2.3, 13.225
11.6, 2.32, 13.456
11.7, 2.34, 13.689
11.8, 2.36, 13.924
11.9, 2.38, 14.161
12.0, 2.4, 14.4
12.1, 2.42, 14.641
12.2, 2.44, 14.884
12.3, 2.46, 15.129
12.4, 2.48, 15.376
12.5, 2.5, 15.625
12.6, 2.52, 15.876
12.7, 2.54, 16.129
12.8, 2.56, 16.384
12.9, 2.58, 16.641
13.0, 2.6, 16.9
13.1, 2.62, 17.161
13.2, 2.64, 17.424
13.3, 2.66, 17.689
13.4, 2.68, 17.956
13.5, 2.7, 18.225
13.6, 2.72, 18.496
13.7, 2.74, 18.769
13.8, 2.76, 19.044
13.9, 2.78, 19.321
14.0, 2.8, 19.6
14.1, 2.82, 19.881
14.2, 2.84, 20.164
14.3, 2.86, 20.449
14.4, 2.88, 20.736
14.5, 2.9, 21.025
14.6, 2.92, 21.316
14.7, 2.94, 21.609
14.8, 2.96, 21.904
14.9, 2.98, 22.201
15.0, 3.0, 22.5
15.1, 3.02, 22.801
15.2, 3.04, 23.104
15.3, 3.06, 23.409
15.4, 3.08, 23.716
15.5, 3.1, 24.025
15.6, 3.12, 24.336
15.7, 3.14, 24.649
15.8, 3.16, 24.964
15.9, 3.18, 25.281
16.0, 3.2, 25.6
16.1, 3.22, 25.921
16.2, 3.24, 26.244
16.3, 3.26, 26.569
16.4, 3.28, 26.896
16.5, 3.3, 27.225
16.6, 3.32, 27.556
16.7, 3.34, 27.889
16.8, 3.36, 28.224
16.9, 3.38, 28.561
17.0, 3.4, 28.9
17.1, 3.42, 29.241
17.2, 3.44, 29.584
17.3, 3.46, 29.929
17.4, 3.48, 30.276
17.5, 3.5, 30.625
17.6, 3.52, 30.976
17.7, 3.54, 31.329
17.8, 3.56, 31.684
17.9, 3.58, 32.041
18.0, 3.6, 32.4
18.1, 3.62, 32.761
18.2, 3.64, 33.124
18.3, 3.66, 33.489
18.4, 3.68, 33.856
18.5, 3.7, 34.225
18.6, 3.72, 34.596
18.7, 3.74, 34.969
18.8, 3.76, 35.344
18.9, 3.78, 35.721
19.0, 3.8, 36.1
19.1, 3.82, 36.481
19.2, 3.84, 36.864
19.3, 3.86, 37.249
19.4, 3.88, 37.636
19.5, 3.9, 38.025
19.6, 3.92, 38.416
19.7, 3.94, 38.809
19.8, 3.96, 39.204
19.9, 3.98, 39.601
20.0, 4.0, 40.0
20.1, 4.02, 40.401
20.2, 4.04, 40.804
20.3, 4.06, 41.209
20.4, 4.08, 41.616
20.5, 4.1, 42.025
20.6, 4.12, 42.436
20.7, 4.14, 42.849
20.8, 4.16, 43.264
20.9, 4.18, 43.681
21.0, 4.2, 44.1
21.1, 4.22, 44.521
21.2, 4.24, 44.944
21.3, 4.26, 45.369
21.4, 4.28, 45.796
21.5, 4.3, 46.225
21.6, 4.32, 46.656
21.7, 4.34, 47.089
21.8, 4.36, 47.524
21.9, 4.38, 47.961
22.0, 4.4, 48.4
22.1, 4.42, 48.841
22.2, 4.44, 49.284
22.3, 4.46, 49.729
