Time,Velocity,Distance,Acceleration
0.0,0.0,0.0,0.0
0.1,0.0125,4.2E-4,0.25
0.2,0.05,0.00333,0.5
0.3,0.1125,0.01125,0.75
0.4,0.2,0.02667,1.0
0.5,0.3125,0.05208,1.25
0.6,0.45,0.09,1.5
0.7,0.6125,0.14292,1.75
0.8,0.8,0.21333,2.0
0.9,1.0125,0.30375,2.25
1.0,1.25,0.41667,2.5
1.1,1.5125,0.55458,2.75
1.2,1.8,0.72,3.0
1.3,2.1125,0.91542,3.25
1.4,2.45,1.14333,3.5
1.5,2.8125,1.40625,3.75
1.6,3.2,1.70667,4.0
1.7,3.6125,2.04708,4.25
1.8,4.05,2.43,4.5
1.9,4.5125,2.85792,4.75
2.0,5.0,10.41667,2.5
2.1,5.4875,10.40104,2.25
2.2,5.95,10.4375,2.0
2.3,6.3875,10.52604,1.75
2.4,6.8,10.66667,1.5
2.5,7.1875,10.85938,1.25
2.6,7.55,11.10417,1.0
2.7,7.8875,11.40104,0.75
2.8,8.2,11.75,0.5
2.9,8.4875,12.15104,0.25
3.0,8.75,12.60417,0.0
3.1,8.9875,13.10938,-0.25
3.2,9.2,13.66667,-0.5
3.3,9.3875,14.27604,-0.75
3.4,9.55,14.9375,-1.0
3.5,9.6875,15.65104,-1.25
3.6,9.8,16.41667,-1.5
3.7,9.8875,17.23438,-1.75
3.8,9.95,18.10417,-2.0
3.9,9.9875,19.02604,-2.25
4.0,10.0,20.0,-2.5
4.0,10.0,20.0,5.0
4.1,10.0,21.0,5.0
4.2,10.0,22.0,5.0
4.3,10.0,23.0,5.0
4.4,10.0,24.0,5.0
4.5,10.0,25.0,5.0
4.6,10.0,26.0,5.0
4.7,10.0,27.0,5.0
4.8,10.0,28.0,5.0
4.9,10.0,29.0,5.0
5.0,10.0,30.0,5.0
5.1,10.0,31.0,5.0
5.2,10.0,32.0,5.0
5.3,10.0,33.0,5.0
5.4,10.0,34.0,5.0
5.5,10.0,35.0,5.0
5.6,10.0,36.0,5.0
5.7,10.0,37.0,5.0
5.8,10.0,38.0,5.0
5.9,10.0,39.0,5.0
6.0,10.0,40.0,5.0
6.1,10.0,41.0,5.0
6.2,10.0,42.0,5.0
6.3,10.0,43.0,5.0
6.4,10.0,44.0,5.0
6.5,10.0,45.0,5.0
6.6,10.0,46.0,5.0
6.7,10.0,47.0,5.0
6.8,10.0,48.0,5.0
6.9,10.0,49.0,5.0
7.0,10.0,50.0,5.0
7.1,10.0,51.0,5.0
7.2,10.0,52.0,5.0
7.3,10.0,53.0,5.0
7.4,10.0,54.0,5.0
7.5,10.0,55.0,5.0
7.6,10.0,56.0,5.0
7.7,10.0,57.0,5.0
7.8,10.0,58.0,5.0
7.9,10.0,59.0,5.0
8.0,10.0,60.0,5.0
8.1,10.0,61.0,5.0
8.2,10.0,62.0,5.0
8.3,10.0,63.0,5.0
8.4,10.0,64.0,5.0
8.5,10.0,65.0,5.0
8.6,10.0,66.0,5.0
8.7,10.0,67.0,5.0
8.8,10.0,68.0,5.0
8.9,10.0,69.0,5.0
9.0,10.0,70.0,5.0
9.1,10.0,71.0,5.0
9.2,10.0,72.0,5.0
9.3,10.0,73.0,5.0
9.4,10.0,74.0,5.0
9.5,10.0,75.0,5.0
9.6,10.0,76.0,5.0
9.7,10.0,77.0,5.0
9.8,10.0,78.0,5.0
9.9,10.0,79.0,5.0
10.0,10.0,80.0,-2.5
10.1,9.9875,80.00042,-2.25
10.2,9.95,80.00333,-2.0
10.3,9.8875,80.01125,-1.75
10.4,9.8,80.02667,-1.5
10.5,9.6875,80.05208,-1.25
10.6,9.55,80.09,-1.0
10.7,9.3875,80.14292,-0.75
10.8,9.2,80.21333,-0.5
10.9,8.9875,80.30375,-0.25
11.0,8.75,80.41667,0.0
11.1,8.4875,80.55458,0.25
11.2,8.2,80.72,0.5
11.3,7.8875,80.91542,0.75
11.4,7.55,81.14333,1.0
11.5,7.1875,81.40625,1.25
11.6,6.8,81.70667,1.5
11.7,6.3875,82.04708,1.75
11.8,5.95,82.43,2.0
11.9,5.4875,82.85792,2.25
12.0,5.0,90.41667,5.0
12.1,4.5125,90.40104,4.75
12.2,4.05,90.4375,4.5
12.3,3.6125,90.52604,4.25
12.4,3.2,90.66667,4.0
12.5,2.8125,90.85938,3.75
12.6,2.45,91.10417,3.5
12.7,2.1125,91.40104,3.25
12.8,1.8,91.75,3.0
12.9,1.5125,92.15104,2.75
13.0,1.25,92.60417,2.5
13.1,1.0125,93.10938,2.25
13.2,0.8,93.66667,2.0
13.3,0.6125,94.27604,1.75
13.4,0.45,94.9375,1.5
13.5,0.3125,95.65104,1.25
13.6,0.2,96.41667,1.0
13.7,0.1125,97.23438,0.75
13.8,0.05,98.10417,0.5
13.9,0.0125,99.02604,0.25
14.0,0.0,100.0,0.0
14.1,0,100.0,
