Time,Velocity,Distance,Acceleration
0.0,0.0,0.0,0.0
0.1,0.0125,4.2E-4,0.25
0.2,0.05,0.00333,0.5
0.3,0.1125,0.01125,0.75
0.4,0.2,0.02667,1.0
0.5,0.3125,0.05208,1.25
0.6,0.45,0.09,1.5
0.7,0.6125,0.14292,1.75
0.8,0.8,0.21333,2.0
0.9,1.0125,0.30375,2.25
1.0,1.25,0.41667,2.5
1.1,1.5125,0.55458,2.75
1.2,1.8,0.72,3.0
1.3,2.1125,0.91542,3.25
1.4,2.45,1.14333,3.5
1.5,2.8125,1.40625,3.75
1.6,3.2,1.70667,4.0
1.7,3.6125,2.04708,4.25
1.8,4.05,2.43,4.5
1.9,4.5125,2.85792,4.75
2.0,5.0,3.33333,5.0
2.1,5.4875,3.85833,4.75
2.2,5.95,4.43333,4.5
2.3,6.3875,5.05833,4.25
2.4,6.8,5.73333,4.0
2.5,7.1875,6.45833,3.75
2.6,7.55,7.23333,3.5
2.7,7.8875,8.05833,3.25
2.8,8.2,8.93333,3.0
2.9,8.4875,9.85833,2.75
3.0,8.75,10.83333,2.5
3.1,8.9875,11.85833,2.25
3.2,9.2,12.93333,2.0
3.3,9.3875,14.05833,1.75
3.4,9.55,15.23333,1.5
3.5,9.6875,16.45833,1.25
3.6,9.8,17.73333,1.0
3.7,9.8875,19.05833,0.75
3.8,9.95,20.43333,0.5
3.9,9.9875,21.85833,0.25
4.0,10.0,23.33333,0.0
4.1,10.0,24.33333,0.0
4.2,10.0,25.33333,0.0
4.3,10.0,26.33333,0.0
4.4,10.0,27.33333,0.0
4.5,10.0,28.33333,0.0
4.6,10.0,29.33333,0.0
4.7,10.0,30.33333,0.0
4.8,10.0,31.33333,0.0
4.9,10.0,32.33333,0.0
5.0,10.0,33.33333,0.0
5.1,10.0,34.33333,0.0
5.2,10.0,35.33333,0.0
5.3,10.0,36.33333,0.0
5.4,10.0,37.33333,0.0
5.5,10.0,38.33333,0.0
5.6,10.0,39.33333,0.0
5.7,10.0,40.33333,0.0
5.8,10.0,41.33333,0.0
5.9,10.0,42.33333,0.0
6.0,10.0,43.33333,0.0
6.1,10.0,44.33333,0.0
6.2,10.0,45.33333,0.0
6.3,10.0,46.33333,0.0
6.4,10.0,47.33333,0.0
